ZIPCODE,AREA,COUNTY
11436,22699295.4594145,Queens
11213,29631004.437939,Kings
11212,41972104.0714198,Kings
11225,23698630.1249252,Kings
11218,36868798.9897562,Kings
11226,39408598.2790117,Kings
11219,42002738.4672304,Kings
11210,47887022.9921604,Kings
11230,49926703.3933172,Kings
11204,43555184.613285,Kings
10471,89651407.0583499,Bronx
10470,21543461.581388,Bronx
10466,55262490.6124597,Bronx
10467,69336166.3726341,Bronx
10463,36703381.5081673,Bronx
10475,38633296.9345436,Bronx
10464,76257484.8998482,Bronx
10469,68040887.0683502,Bronx
10468,34447604.6722183,Bronx
10463,3119701.91322087,New York
10458,35968812.9033631,Bronx
10034,24503892.1220115,New York
10033,16156054.1719256,New York
10462,53022513.776471,Bronx
10040,16340742.7951967,New York
10453,25748509.2716743,Bronx
10465,108423743.438241,Bronx
10464,4512530.57659232,Bronx
10464,11587953.826739,Bronx
10461,62824057.5745278,Bronx
10457,37640607.3793199,Bronx
10460,35155666.6460149,Bronx
10032,23159566.0923429,New York
10452,27550385.8533127,Bronx
10456,29933452.4363485,Bronx
10472,30963245.1883283,Bronx
10031,16902152.3659099,New York
10039,8419027.88460668,New York
10459,22551940.5372444,Bronx
10451,28944106.5168784,Bronx
10473,59522354.5402765,Bronx
10030,7757661.4549303,New York
10027,24695278.5042902,New York
10474,40614090.1902275,Bronx
10455,19846918.8414558,Bronx
10037,7188980.95342821,New York
10024,22877335.4639181,New York
10454,31063613.325308,Bronx
10026,11092681.4884746,New York
10035,15445657.3340813,New York
10048,972788.42397429,New York
10025,19631043.8225259,New York
11357,77359110.6091442,Queens
10029,22963435.6769661,New York
83,38300990.399943,New York
11356,43321159.272031,Queens
11359,6567982.08534197,Queens
11360,38834824.1713414,Queens
11105,48795608.0799341,Queens
10128,11011681.5568226,New York
10023,15212712.6781593,New York
11363,24242790.0234975,Queens
10028,9842046.4797,New York
11354,61985147.4508045,Queens
11102,19116258.4369194,Queens
11370,23600231.4880305,Queens
10021,10495133.4084987,New York
11358,54622541.0857367,Queens
11362,54680551.219371,Queens
10044,6296113.26884279,New York
11369,30060493.2463742,Queens
11103,20222394.6255259,Queens
11106,23866112.7254688,Queens
11368,72489663.284463,Queens
11377,71832387.4944802,Queens
11355,49383079.083945,Queens
11101,78962088.741757,Queens
11364,84259665.0529601,Queens
10018,10705796.4791701,New York
10020,697297.02240016,New York
11005,9075527.40374782,Queens
10017,9794383.23999352,New York
10001,17794940.7727089,New York
10011,18118416.8463268,New York
10016,15042403.0377915,New York
11104,12084432.1160844,Queens
11109,581237.15059292,Queens
10010,9768395.56994528,New York
11367,72810151.5885401,Queens
10014,14151052.0304172,New York
10003,15538376.2696663,New York
11222,42825293.236702,Kings
10002,26280128.5438885,New York
11378,66260538.7433529,Queens
10009,15903519.3012284,New York
10012,9193738.99955164,New York
10013,15580578.8335804,New York
10007,5327870.97676123,New York
11237,27425868.1713133,Kings
11385,124786310.907857,Queens
10038,7022760.64302604,New York
11206,40700720.9727291,Kings
10006,1716640.92012239,New York
11412,45842752.226073,Queens
10005,2082901.14073505,New York
11251,10245952.2542422,Kings
10004,4002521.0970287,New York
11411,35889597.3834009,Queens
11201,41094886.7657365,Kings
10004,1202707.70744839,New York
11205,23270147.9497623,Kings
11208,79303684.263991,Kings
11207,73966260.541061,Kings
10004,7679615.51100765,New York
10004,670708.01999656,New York
11413,86208498.5890682,Queens
11217,21648157.7960373,Kings
11238,29429423.4614794,Kings
11231,39379691.7940637,Kings
11422,60120657.2055391,Queens
11420,61879568.3727771,Queens
11417,31099087.1079081,Queens
11215,61922821.7461638,Kings
11231,701979.38531194,Kings
11232,55879065.1502698,Kings
11430,199913664.288603,Queens
11203,60644835.4561565,Kings
11239,41794660.7671967,Kings
11236,96373991.6201046,Kings
11220,47453785.7906374,Kings
10301,105182712.649568,Richmond
10303,81629773.5174369,Richmond
11234,206201040.087973,Kings
10302,29555323.0233747,Richmond
11693,46471727.1709791,Queens
11209,57842313.9612272,Kings
10304,98226679.797328,Richmond
10314,473985727.130054,Richmond
11228,43893024.7317224,Kings
11096,1512446.30548939,Queens
10305,111441829.317708,Richmond
11229,60119326.1442695,Kings
11214,61096539.3891465,Kings
11691,83927815.1123475,Queens
11096,111973.73396184,Queens
11223,58702923.4662996,Kings
11693,1527599.16446935,Queens
11692,23992395.3811918,Queens
11235,69053803.0317134,Kings
11693,12270916.5305379,Queens
10306,174102872.04866,Richmond
11694,48101606.6144704,Queens
11224,46701983.7536391,Kings
10308,62751041.8151495,Richmond
11697,59789760.6199218,Queens
10312,169087432.907114,Richmond
10309,215835793.517094,Richmond
10307,46028382.6297602,Richmond
10280,2234114.00737477,New York
11372,20163283.8743202,Queens
11004,22606526.9135699,Queens
11040,6269333.411947,Queens
11426,49609163.5394305,Queens
11365,69385865.5947389,Queens
11001,9155180.26276007,Queens
11375,55587771.8344865,Queens
11427,39435767.4173042,Queens
11374,25203558.5810222,Queens
11366,20358592.7502548,Queens
11423,45095032.1009242,Queens
11428,21927545.4923289,Queens
11432,60177575.6380646,Queens
11379,57622817.0453818,Queens
11429,39559398.2845283,Queens
11435,42105899.1565062,Queens
11415,16802279.5094065,Queens
11418,32025130.9227912,Queens
11433,47739432.5965324,Queens
11451,487599.72679456,Queens
11221,38580480.4343075,Kings
11421,24314441.7639082,Queens
11419,31278858.1025216,Queens
11434,87379704.1578414,Queens
11216,26478229.2634433,Kings
11416,18854849.8013032,Queens
11233,37871693.6822543,Kings
10055,37223.53879059,New York
10019,18828383.1167983,New York
10111,103066.25326749,New York
10153,80339.64722531,New York
10154,79148.80239471,New York
10152,59924.99827374,New York
10115,71720.1154679,New York
10022,12728335.6230472,New York
11370,18190205.1866401,Bronx
10065,11442579.5473714,New York
10075,4809654.27648916,New York
10069,2372365.88905417,New York
10281,955857.82189407,New York
10282,1562844.98744848,New York
11211,40470881.6712834,Kings
11373,42654860.3372075,Queens
10279,28664.70581259,New York
10165,40779.8152016,New York
10168,27810.12206039,New York
10105,35422.15675474,New York
10118,91733.71536502,New York
10176,18289.08973373,New York
10170,61793.17513498,New York
10112,164078.16778045,New York
10122,23294.63810493,New York
10107,23030.17589801,New York
10103,62713.25340641,New York
10174,44203.225551,New York
10166,110438.62316925,New York
10169,66246.34636524,New York
10167,80926.18724468,New York
10177,24688.05110227,New York
10172,79589.10010435,New York
10171,23525.08592042,New York
10270,31255.80042657,New York
10104,89721.85254792,New York
10271,49236.87720047,New York
10110,21249.06351801,New York
10175,18685.39452547,New York
10151,21380.26837704,New York
10173,25689.4205866,New York
10178,51303.03763325,New York
10121,115104.79934758,New York
10123,16138.53696529,New York
10106,31052.55279476,New York
10158,35395.77014453,New York
10041,162236.64686066,New York
10120,35179.27221883,New York
10278,206705.99517726,New York
10155,24784.68853834,New York
10043,38262.36480837,New York
10081,30240.50545136,New York
10096,42106.11469036,New York
10097,65826.17797858,New York
10196,32502.4403287,New York
10196,3154.82497313,New York
10275,48280.41500036,New York
10265,17229.15496418,New York
10045,47808.98541408,New York
10047,10149.77968393,New York
10047,10149.77968393,New York
10080,77111.44771105,New York
10203,37226.88358199,New York
10259,21064.31295297,New York
10260,52514.73508273,New York
10285,67350.38895987,New York
10286,11264.4123784,New York
10035,23494871.4647732,New York
11371,30558474.9078386,Queens
11361,50163518.2433512,Queens
10036,11395110.509595,New York
11414,63928824.719027,Queens
10310,53463275.0024921,Richmond
11693,3497515.7797433,Kings
11249,17772206.1701202,Kings
10162,21034.88691763,New York
10119,126392.97354801,New York
